ID,Name,解锁关卡,建造需要的能量,攻击力,攻速系数,攻击范围,出生时间,动作帧数,射击动作延迟,图片路径,旋转速度,能否攻击空中单位,优先攻击空中单位,描述
id|int,name|string,canBuildLevel|int,buildEnergy|int,attackPower|float,attackSpeedMul|float,range|int,birthTime|float,aniFrame|float,shootAniDelay|float,imgPath|string,rotationSpeed|float,isAttackFly|int,firstAttackFly|int,desc|string
100101,穿甲机枪,1001,84,9,1,10,1.5,14,0,UIImg/Tower/Button/1001,0.06,1,0,你爷爷用她巷战反恐，你父亲用她边境对峙，现在你用她抵御智械危机——传承中不断发展革新的经典武器，如今依旧魅力无限，你，值得拥有。
100102,穿甲机枪,1001,50,12,1.1,11,1.5,20,0,,0.06,1,0,
100103,穿甲机枪,1001,106,18,1.2,12,1.5,14,0,,0.06,1,0,
100104,穿甲机枪,1001,231,30,1.3,13,1.5,19,0,,0.06,1,0,
100201,穿甲炮台,1002,163,20,1,15,1.5,30,0,UIImg/Tower/Button/1002,0.03,1,0,旧式反装甲炮塔全面换装贫铀弹头。如今可不比和平年代，在Lucy兵临城下时讨论环保，无异于在最后冲锋前告诉一名敢死队士兵吸烟有害健康。
100202,穿甲炮台,1002,39,22,1,15,1.5,48,0,,0.04,1,0,
100203,穿甲炮台,1002,50,26,1,16,1.5,63,0,,0.04,1,0,
100204,穿甲炮台,1002,100,32,1,18,1.5,72,0,,0.04,1,0,
100401,电磁线圈,1005,144,6,1,12,1.5,96,30,UIImg/Tower/Button/1004,0.03,1,0,电磁武器研发早期阶段的杰作，受时代所限，无法完全收束住弥漫在其周围的电磁流风暴。而现在，这反而成为此武器最大的特点，源源不断的电磁流让敌人的中枢控制系统紊乱。
100402,电磁线圈,1005,120,8,1,14,1.5,96,30,,0.03,1,0,
100403,电磁线圈,1005,200,9,1,16,1.5,96,30,,0.03,1,0,
100501,磁暴炮塔,1006,80,10,1,15,1.5,36,30,UIImg/Tower/Button/1005,0.03,1,0,依靠反应堆提供的无穷能量，曾经只存在于电影、游戏中的防御武器踏入现实，当年反R国宣传题材典型代表单位如今正成为保卫人类的中坚力量。
100502,磁暴炮塔,1006,51,15,1,15,1.5,30,30,,0.04,1,0,
100503,磁暴炮塔,1006,86,25,1,15,1.5,22,30,,0.04,1,0,
100801,激光发射器,1010,129,40,1,15,1.5,0,0,UIImg/Tower/Button/1008,0.03,1,0,以“仙杖”天基激光器地面试验机为基础进行小型化改造的武器系统，早先因性价比问题并未广泛列装，在对抗Lucy的战争开始后才大放光彩。
100802,激光发射器,1010,26,30,1,15,1.5,0,0,,0.03,1,0,
100803,激光发射器,1010,38,40,1,15,1.5,0,0,,0.03,1,0,
100901,高能激光炮,1014,140,40,1,16,1.5,43,0,UIImg/Tower/Button/1009,0.05,1,1,最高效的对空武器是什么？报告，激光炮！好，坐。高能激光炮，索敌，发射，击落，瞬间完成，是防御塔里的豪杰。清空空中目标后会转而攻击地面目标。
100902,高能激光炮,1014,38,50,1,17,1.5,43,0,,0.05,1,1,
100903,高能激光炮,1014,37,60,1,18,1.5,43,0,,0.05,1,1,
101001,能量中继站,1015,96,0,1,15,1.5,0,0,UIImg/Tower/Button/1010,0.03,1,0,磁流体供能时代，盯着仪表盘发愁是常有的事，只因你未曾拥有这款能量中继站。只需一台，轻松提升区域内防御塔火力、射速，赶快拿起电话订购吧。
101002,能量中继站,1015,48,0,1,15,1.5,0,0,,0.03,1,0,
101003,能量中继站,1015,72,0,1,15,1.5,0,0,,0.03,1,0,
101101,唤雷者,1016,216,20,1,15,1.5,50,0,UIImg/Tower/Button/1011,0.03,1,0,当电磁部队抱怨沦为战场辅助之时，唤雷者伴随着铁氧体云层电荷扰动技术应运而生。接入Lucy集成思维网络的智械叛军们，是时候在闪电的洗礼下戒掉网瘾了。
101102,唤雷者,1016,108,30,1,15,1.5,50,0,,0.03,1,0,
101103,唤雷者,1016,237,30,1,15,1.5,50,0,,0.03,1,0,
